tidied 1 unfrozen.csv,tidied 2 slow.csv,tidied 3 snap.csv,tidied 4 dmso.csv,tidied 5 snap and dmso.csv
6.239,,,10.977,2.928
13.955,,,2.141,2.633
4.573,,,5.441,2.889
4.457,,,9.256,4.623
5.704,,,2.458,2.734
2.391,,,4.815,3.459
8.160,,,11.296,1.465
17.699,,,3.448,6.158
15.330,,,2.536,1.638
12.249,,,4.346,4.480
1.679,,,3.945,3.297
1.838,,,1.757,2.198
1.653,,,2.638,2.901
3.454,,,3.093,9.656
3.270,,,5.512,4.580
9.075,,,5.637,2.184
4.588,,,2.691,3.551
1.873,,,2.060,1.535
6.594,,,2.192,2.005
3.235,,,2.480,2.521
6.329,,,2.250,2.253
3.458,,,2.881,2.045
6.027,,,1.476,4.897
2.081,,,2.142,3.237
11.302,,,3.078,2.977
8.640,,,8.342,1.845
5.378,,,5.438,3.064
14.329,,,9.917,4.237
1.633,,,6.176,6.974
4.660,,,3.619,2.583
6.648,,,1.958,1.711
4.756,,,7.194,21.571
1.857,,,7.078,5.585
1.528,,,3.722,8.922
4.964,,,4.262,6.517
1.727,,,11.253,1.870
4.711,,,7.034,6.288
3.698,,,2.360,2.021
7.186,,,7.947,6.724
1.731,,,3.585,4.237
8.157,,,6.337,2.588
3.009,,,12.036,1.716
3.866,,,4.897,2.549
2.811,,,3.689,3.709
3.109,,,2.766,1.620
2.494,,,5.055,6.266
11.663,,,1.629,7.040
6.564,,,2.750,5.641
8.081,,,2.808,3.667
5.796,,,2.220,6.524
7.315,,,1.518,2.628
1.756,,,2.226,2.765
1.812,,,1.497,3.082
2.910,,,3.232,2.578
2.003,,,2.505,2.386
11.000,,,1.757,2.020
8.047,,,4.482,2.148
2.888,,,2.784,1.657
4.123,,,2.460,2.369
2.078,,,3.407,6.039
3.297,,,6.313,2.237
5.175,,,3.136,3.639
2.138,,,5.735,1.716
2.536,,,2.865,1.642
3.050,,,4.598,1.873
1.600,,,3.401,1.464
1.697,,,2.548,2.916
2.985,,,4.288,3.276
2.087,,,5.319,4.734
2.504,,,4.766,7.965
,,,2.159,10.965
,,,1.802,1.671
,,,2.703,8.867
,,,1.470,2.551
,,,3.332,3.159
,,,1.929,2.387
,,,3.088,2.941
,,,2.342,3.902
,,,7.214,2.836
,,,1.568,5.948
,,,1.500,2.992
,,,6.984,2.677
,,,1.729,2.388
,,,1.570,3.814
,,,1.689,2.575
,,,2.351,3.424
,,,5.580,1.652
,,,3.862,2.523
,,,1.527,1.769
,,,5.686,3.083
,,,5.890,2.757
,,,4.244,3.003
,,,1.506,3.632
,,,1.758,3.639
,,,1.902,1.788
,,,1.653,2.668
,,,4.624,3.039
,,,7.954,2.530
,,,2.016,5.598
,,,1.751,2.019
,,,5.525,5.712
,,,5.233,2.382
,,,3.097,7.727
,,,8.279,9.541
,,,2.311,6.889
,,,3.346,2.470
,,,1.680,4.371
,,,2.561,2.175
,,,8.676,3.892
,,,4.454,2.380
,,,1.636,4.174
,,,2.138,3.526
,,,2.523,2.815
,,,2.454,5.712
,,,1.890,2.281
,,,3.156,1.573
,,,2.513,1.535
,,,3.424,4.594
,,,3.486,4.097
,,,1.809,1.819
,,,1.465,1.724
,,,1.909,3.560
,,,4.092,2.871
,,,4.033,1.698
,,,2.526,2.882
,,,3.462,
